username,date,text,replies,reposts,likes,bookmarks,views
theapplehub,2025-04-01T16:00:12.000Z,"Today, Apple has introduced a new Sky Blue color for the iPhone 16 Pro and iPhone 16 Pro Max!

You can order the new color on April 4th and will be available on April 11th. Now make sure to check the alt-text on the image!",256,707,7487,459,543938
e01_9,2025-04-01T16:12:01.000Z,Not cool . There is place in hell waiting for you,0,2,330,0,9430
BromTitus,2025-04-01T16:07:37.000Z,The Sierra blue iPhone 13 Pro Max is the best looking phone they’ve made!,17,6,281,6,32367
andrewjclare,2025-04-01T16:07:46.000Z, got me,0,0,85,0,17008
LucasBryner3,2025-04-01T17:21:49.000Z,Apple fools ,0,0,0,0,664
LordJamieVShiLL,2025-04-01T21:03:33.000Z,I cant believe anything today,0,0,0,0,3502
amritwt,2025-04-02T16:41:16.000Z,where is the blue?,0,0,0,0,1898
uncle_vaughn,2025-04-01T16:00:41.000Z,Why would you joke like this ,0,0,64,0,6635
abasisgenius,2025-04-01T16:19:35.000Z,Shoutout to people who actually thought it was true ,0,0,43,0,8368
onefahadx,2025-04-02T00:47:54.000Z,I’m so glad this is fake because I would’ve wanted one!,0,0,41,0,4428
dk_tsl,2025-04-01T16:09:25.000Z,I like cornea Umbra better.,0,0,19,0,12592
theapplehub,2025-04-01T16:00:12.000Z,"Today, Apple has introduced a new Sky Blue color for the iPhone 16 Pro and iPhone 16 Pro Max!

You can order the new color on April 4th and will be available on April 11th. Now make sure to check the alt-text on the image!",256,707,7487,459,543938
e01_9,2025-04-01T16:12:01.000Z,Not cool . There is place in hell waiting for you,0,2,330,0,9430
BromTitus,2025-04-01T16:07:37.000Z,The Sierra blue iPhone 13 Pro Max is the best looking phone they’ve made!,17,6,281,6,32367
andrewjclare,2025-04-01T16:07:46.000Z, got me,0,0,85,0,17008
LucasBryner3,2025-04-01T17:21:49.000Z,Apple fools ,0,0,0,0,664
LordJamieVShiLL,2025-04-01T21:03:33.000Z,I cant believe anything today,0,0,0,0,3502
amritwt,2025-04-02T16:41:16.000Z,where is the blue?,0,0,0,0,1898
uncle_vaughn,2025-04-01T16:00:41.000Z,Why would you joke like this ,0,0,64,0,6635
abasisgenius,2025-04-01T16:19:35.000Z,Shoutout to people who actually thought it was true ,0,0,43,0,8368
onefahadx,2025-04-02T00:47:54.000Z,I’m so glad this is fake because I would’ve wanted one!,0,0,41,0,4428
dk_tsl,2025-04-01T16:09:25.000Z,I like cornea Umbra better.,0,0,19,0,12592
mercAdonis_,2025-04-01T16:02:57.000Z,"i was speeding to http://apple.com to order it, you’re an evil person ",0,0,15,0,3267
JohnoIsMyName,2025-04-01T16:18:00.000Z,NaN,0,0,12,0,2644
