username,date,text,replies,reposts,likes,bookmarks,views
theapplehub,2025-03-28T08:00:56.000Z,What new features do you want to see in iOS 19?,457,220,4901,149,420759
Kinnzayyy,2025-03-28T08:03:59.000Z,Battery shouldn’t be draining,0,0,23,0,3999
hagi_koble,2025-03-28T10:25:10.000Z,Moving cursor or editable when you are writing numbers!,0,0,6,0,2600
danielsun_ui,2025-03-28T12:26:33.000Z,Apple Intelligence that finally works  ,0,0,2,0,656
alexhalltweet,2025-03-28T09:09:36.000Z,Ghibli mode duhhhh,2,6,111,5,4150
losconocedores,2025-03-28T10:50:47.000Z,Fix the horrible Photos app and make a way better version of the Apple TV app.,0,0,93,0,3340
iHateApplee,2025-03-28T08:42:29.000Z,Just use Android at this point.,16,0,72,0,10180
Oskaronkulis,2025-03-28T08:06:30.000Z,The main feature should be “fix all 18s bugs”,0,0,71,0,3205
ASO_Guru,2025-03-28T11:49:05.000Z,"I wanna see smart Siri outside the US in iOS 19 too!
Give me real answers — not “unlock your iPhone first” or “I found this on the internet”  Just answer me already! ",4,0,57,0,4965
pushpak479,2025-03-28T08:38:56.000Z,Split screen,0,3,38,0,6041
theapplehub,2025-03-28T08:00:56.000Z,What new features do you want to see in iOS 19?,457,220,4901,149,420759
Kinnzayyy,2025-03-28T08:03:59.000Z,Battery shouldn’t be draining,0,0,23,0,3999
hagi_koble,2025-03-28T10:25:10.000Z,Moving cursor or editable when you are writing numbers!,0,0,6,0,2600
danielsun_ui,2025-03-28T12:26:33.000Z,Apple Intelligence that finally works  ,0,0,2,0,656
alexhalltweet,2025-03-28T09:09:36.000Z,Ghibli mode duhhhh,2,6,111,5,4150
losconocedores,2025-03-28T10:50:47.000Z,Fix the horrible Photos app and make a way better version of the Apple TV app.,0,0,93,0,3340
iHateApplee,2025-03-28T08:42:29.000Z,Just use Android at this point.,16,0,72,0,10180
Oskaronkulis,2025-03-28T08:06:30.000Z,The main feature should be “fix all 18s bugs”,0,0,71,0,3205
ASO_Guru,2025-03-28T11:49:05.000Z,"I wanna see smart Siri outside the US in iOS 19 too!
Give me real answers — not “unlock your iPhone first” or “I found this on the internet”  Just answer me already! ",4,0,57,0,4965
pushpak479,2025-03-28T08:38:56.000Z,Split screen,0,3,38,0,6041
chrisaurus,2025-03-28T08:03:49.000Z,"A more functional keyboard. Like... I want that clipboard tab in there, with clipboard history for text and images. Also... a translate tab too, in there, maybe a GIFs one too. God, it's 2025.",3,0,36,0,6958
ttyguy1,2025-03-28T11:44:40.000Z,I’ve been saying this for years now: I want a redesigned Notification Center that doesn’t look like the look screen. I’ve never understood it and I miss the old one from iOS 5.,0,0,25,0,3763
privatetalky,2025-03-28T08:13:28.000Z,Redesign and Bug Fixes ,0,0,17,0,3113
TeslaKing420,2025-03-28T10:55:33.000Z,Would be great if they could fix iOS 18 first.,0,0,13,0,2310
Muzahinur1,2025-03-28T08:02:18.000Z,"Nothing much , control heating that’s all",0,0,12,0,2485
ApplesUpdate,2025-03-28T08:02:35.000Z,Call translation is a feature that I've been waiting for for a while,0,0,11,0,5845
R2DHue,2025-03-28T11:31:15.000Z,"None.

In iOS 19, I want the equivalent of “iOS Snow Leopard.”

I want Apple to take a breather and fully concentrate on performance; bug fixes; streamlined, efficient code; an updated, more robust kernel—the solid foundation upon which all else runs.

Bertrand Serlet, WWDC 2009:",2,0,11,0,975
1xChucky,2025-03-28T08:04:02.000Z,"Revamped keyboard
fonts
new ui",0,0,10,0,572
Shaharudinali,2025-03-28T11:50:36.000Z,"#One click to place the cursor wherever you want it to be.
I challenge @Apple",2,0,9,0,2097
chrisahinojosa,2025-03-28T12:15:16.000Z,"An actually intelligent Apple Intelligence  When I read that the “demo” they presented in the pre-recorded videos were just mock ups, they lost trust with so many folks. This is why they need to go back to doing LIVE Keynotes. @craigfederighi @tim_cook @gregjoz",0,0,9,0,2161
TheDevMemeGuy,2025-03-28T10:29:38.000Z,"MAKE MY KEYBOARD SOUND NOT SUDDENLY JUMP TO 3000%

Thanks.",0,0,8,0,464
oscarf00,2025-03-28T11:16:28.000Z,"The ability to when downloading an app, it gives you the option where to move it you have folders created.",0,0,8,0,1242
capriseeuuum,2025-03-28T08:01:14.000Z,wallpapers in iMessage,0,0,7,0,847
abauminable,2025-03-28T08:04:26.000Z,"Everything that Android can do up to this very moment, but do even better without a paywall.",0,0,7,0,1850
LucaYaa1,2025-03-28T08:07:51.000Z,the redesign,0,0,7,0,1421
RightWingeFR,2025-03-28T08:13:08.000Z,"I want iPhones like the ones that used to be before:

1. Lockscreen clock style

- Day, Date below the Clock
- Lock icon above looks good",2,0,7,0,1622
xJestersDeadx,2025-03-28T10:02:49.000Z,For all that is holy and right- *fix the photos app!*,0,0,7,0,3348
lakshyalark,2025-03-28T12:19:55.000Z,Fix all the bugs in iOS 18 and call it iOS 19.,2,0,6,0,316
stoecklmanuel,2025-03-28T08:19:13.000Z,"Nutrition tracker in health, new AppleTV app and News+ in Germany",0,0,5,0,471
R2DHue,2025-03-28T11:31:15.000Z,"None.

In iOS 19, I want the equivalent of “iOS Snow Leopard.”

I want Apple to take a breather and fully concentrate on performance; bug fixes; streamlined, efficient code; an updated, more robust kernel—the solid foundation upon which all else runs.

Bertrand Serlet, WWDC 2009:",2,0,11,0,975
1xChucky,2025-03-28T08:04:02.000Z,"Revamped keyboard
fonts
new ui",0,0,10,0,572
Shaharudinali,2025-03-28T11:50:36.000Z,"#One click to place the cursor wherever you want it to be.
I challenge @Apple",2,0,9,0,2097
chrisahinojosa,2025-03-28T12:15:16.000Z,"An actually intelligent Apple Intelligence  When I read that the “demo” they presented in the pre-recorded videos were just mock ups, they lost trust with so many folks. This is why they need to go back to doing LIVE Keynotes. @craigfederighi @tim_cook @gregjoz",0,0,9,0,2161
TheDevMemeGuy,2025-03-28T10:29:38.000Z,"MAKE MY KEYBOARD SOUND NOT SUDDENLY JUMP TO 3000%

Thanks.",0,0,8,0,464
oscarf00,2025-03-28T11:16:28.000Z,"The ability to when downloading an app, it gives you the option where to move it you have folders created.",0,0,8,0,1242
capriseeuuum,2025-03-28T08:01:14.000Z,wallpapers in iMessage,0,0,7,0,847
abauminable,2025-03-28T08:04:26.000Z,"Everything that Android can do up to this very moment, but do even better without a paywall.",0,0,7,0,1850
LucaYaa1,2025-03-28T08:07:51.000Z,the redesign,0,0,7,0,1421
RightWingeFR,2025-03-28T08:13:08.000Z,"I want iPhones like the ones that used to be before:

1. Lockscreen clock style

- Day, Date below the Clock
- Lock icon above looks good",2,0,7,0,1622
xJestersDeadx,2025-03-28T10:02:49.000Z,For all that is holy and right- *fix the photos app!*,0,0,7,0,3348
lakshyalark,2025-03-28T12:19:55.000Z,Fix all the bugs in iOS 18 and call it iOS 19.,2,0,6,0,316
stoecklmanuel,2025-03-28T08:19:13.000Z,"Nutrition tracker in health, new AppleTV app and News+ in Germany",0,0,5,0,471
_JasonRyan,2025-03-28T10:20:05.000Z,"3rd party icon pack support.

The ability to increase the current 4x4 grid size..",0,0,5,0,1058
aa1yea,2025-03-28T08:22:26.000Z,A major overhaul in the design,0,0,4,0,1428
kenny_veldheer,2025-03-28T10:27:39.000Z,"What was promised with iOS 18, apple intelligence",0,0,4,0,2435
SoColdnTheD,2025-03-28T13:51:54.000Z,Multitasking would be great…,3,0,2,0,2457
mtgproductionss,2025-03-28T09:47:09.000Z,A visual redesign!,0,0,3,0,36
AigarsSukurs,2025-03-28T11:55:21.000Z,Ghibli emojis :),0,0,3,0,703
clt_clt_clt,2025-03-28T13:07:03.000Z,"Truly multilingual, no barrier apple intelligence.",0,0,3,0,876
Rndarsh,2025-03-28T17:20:50.000Z,"Good performance 
High Graphics 
And most important 
* It should support free iPhones so I can use those features.",0,0,3,0,153
ishkabubbles,2025-03-28T18:26:29.000Z,I would like to see iOS 18 function before moving forward.,0,0,3,0,1009
artilastudios,2025-03-28T10:46:51.000Z,IOS 6 Icons and UI,0,0,2,0,469
TimHundley4All,2025-03-28T13:30:22.000Z,Apple Intelligence,0,0,2,0,1541
Aaron_Sirius_,2025-03-30T23:14:04.000Z,I want access to the control center by swiping from the bottom right of the screen.,0,0,5,0,39
UdehKelechi4,2025-03-28T08:02:10.000Z,Let’s my iOS 19 update me if the FBi is looking for me I really need that?,0,0,4,0,552
jjhiza_1025,2025-03-28T09:29:57.000Z,"Support for real-time language translation with Airpods would be outstanding. I'd also love to see some actual Siri improvements, instead of the ""do you want me to use ChatGPT to answer that?"". Apple Intelligence has been a fairly useless feature so far.",0,0,4,0,381
Greg_Cumbria,2025-03-28T10:50:10.000Z,A simplified and self explanatory menu rather than the impenetrable options that the vast majority never fully understand.,0,0,3,0,72
Kubiks_bez_x,2025-03-28T10:53:24.000Z,New feature? I want iOS to be stable os again. Now it’s worse than android,0,0,3,0,123
husseineelec,2025-03-28T11:38:18.000Z,Charging iPhone wirelessly from a distance of 1 to 4 meters from the charger,0,0,3,0,117
Some_Dopamine,2025-03-28T11:44:35.000Z,"Less bugs and more continuity man. I can’t be swiping to go back for 2 menus and having to tap the back arrow in the top left of another 2 menus in the same app. It drives me insane!! 3rd party apps, yes but apple should force it down their throats if need be.",0,0,3,0,45
soderpopinski,2025-03-28T12:14:03.000Z,"Landscape everything, split screen, pinnable albums/playlists in music app",0,0,3,0,137
posercult,2025-03-28T15:04:49.000Z,"Always On Display needs brightness control and shouldn't show media info. It's unnecessary and kinda annoying, especially since tapping doesn't work and playback time isn't real-time.",0,0,3,0,359
salama_alalawi,2025-03-28T23:05:32.000Z,"nothing much, just linking my apple pen to my phone will be enough",0,0,3,0,455
AigarsSukurs,2025-03-28T11:55:21.000Z,Ghibli emojis :),0,0,3,0,703
clt_clt_clt,2025-03-28T13:07:03.000Z,"Truly multilingual, no barrier apple intelligence.",0,0,3,0,876
Rndarsh,2025-03-28T17:20:50.000Z,"Good performance 
High Graphics 
And most important 
* It should support free iPhones so I can use those features.",0,0,3,0,153
ishkabubbles,2025-03-28T18:26:29.000Z,I would like to see iOS 18 function before moving forward.,0,0,3,0,1009
artilastudios,2025-03-28T10:46:51.000Z,IOS 6 Icons and UI,0,0,2,0,469
TimHundley4All,2025-03-28T13:30:22.000Z,Apple Intelligence,0,0,2,0,1541
Aaron_Sirius_,2025-03-30T23:14:04.000Z,I want access to the control center by swiping from the bottom right of the screen.,0,0,5,0,39
UdehKelechi4,2025-03-28T08:02:10.000Z,Let’s my iOS 19 update me if the FBi is looking for me I really need that?,0,0,4,0,552
jjhiza_1025,2025-03-28T09:29:57.000Z,"Support for real-time language translation with Airpods would be outstanding. I'd also love to see some actual Siri improvements, instead of the ""do you want me to use ChatGPT to answer that?"". Apple Intelligence has been a fairly useless feature so far.",0,0,4,0,381
Greg_Cumbria,2025-03-28T10:50:10.000Z,A simplified and self explanatory menu rather than the impenetrable options that the vast majority never fully understand.,0,0,3,0,72
Kubiks_bez_x,2025-03-28T10:53:24.000Z,New feature? I want iOS to be stable os again. Now it’s worse than android,0,0,3,0,123
husseineelec,2025-03-28T11:38:18.000Z,Charging iPhone wirelessly from a distance of 1 to 4 meters from the charger,0,0,3,0,117
Some_Dopamine,2025-03-28T11:44:35.000Z,"Less bugs and more continuity man. I can’t be swiping to go back for 2 menus and having to tap the back arrow in the top left of another 2 menus in the same app. It drives me insane!! 3rd party apps, yes but apple should force it down their throats if need be.",0,0,3,0,45
soderpopinski,2025-03-28T12:14:03.000Z,"Landscape everything, split screen, pinnable albums/playlists in music app",0,0,3,0,137
posercult,2025-03-28T15:04:49.000Z,"Always On Display needs brightness control and shouldn't show media info. It's unnecessary and kinda annoying, especially since tapping doesn't work and playback time isn't real-time.",0,0,3,0,359
salama_alalawi,2025-03-28T23:05:32.000Z,"nothing much, just linking my apple pen to my phone will be enough",0,0,3,0,455
philmography90,2025-03-28T09:41:33.000Z,I just want it to work properly and NO round icos,0,0,2,0,433
MarcBellew,2025-03-28T13:30:47.000Z,"A dedicated screen time app would be fantastic, to manage your own use and family use.",0,0,2,0,691
rune_overas,2025-03-28T14:21:22.000Z,Better photo app…,0,0,2,0,392
GraysonHadley,2025-03-28T15:52:35.000Z,Working Siri,0,0,2,0,315
yimmy__,2025-03-29T00:40:17.000Z,New Apple Music revamped with more personal features like profile interacted,0,0,2,0,184
joepenora,2025-03-29T04:27:31.000Z,"The battery widget...I want to be able to glance at my phone and not only see how much battery my AirPods have I want to see my iPad, my MacBook, basically every device tied to my Apple ID.",0,0,2,0,832
aakashyap1_,2025-03-28T08:08:59.000Z,NO more android shadow. thanks!,0,0,0,0,1140
chrisahinojosa,2025-03-28T12:12:12.000Z,Stability.,0,0,0,0,1632
CarlosZeLuis,2025-03-28T12:47:18.000Z,Give us back the old Photo app.,0,0,0,0,1119
K_Armstrong1187,2025-03-28T12:52:40.000Z,Language translation feature in airpods or beats I know Google got but that don't make it good or better,0,0,0,0,782
laoChoe,2025-03-28T08:14:58.000Z,split screen for multi-tasking,0,0,2,0,274
JJX_8888,2025-03-28T08:40:19.000Z,A bug free software.,0,0,2,0,191
GregoryFloyd155,2025-03-28T08:44:29.000Z,@grok what can we expect from this update?,0,0,2,0,750
DiamondboyLucas,2025-03-28T08:53:54.000Z,"The charging thing when it tells you how long until finished charge 

Also I want Apple to bring landscape back",0,0,2,0,201
QueenWeezy,2025-03-28T09:18:05.000Z,An official way to clear cache,0,0,2,0,236
ketszeri,2025-03-28T09:24:32.000Z,"Siri, working.",0,0,2,0,77
Giorgikir,2025-03-28T09:38:09.000Z,The ability to silence the dialer tone without turning on Silent Mode.,0,0,2,0,104
Arunava0018,2025-03-28T09:39:46.000Z,Automatic upgrade to the Next iPhone,0,0,2,0,110
SAH_HAIDER,2025-03-28T09:59:12.000Z,Let’s start with changing the color combination on this iOS19 logo.,0,0,2,0,188
iwantelephant,2025-03-28T10:09:09.000Z,"There’s a missing option to adjust the alarm sound level, each morning I set alarm to wakeup early heart attack happens to me ",0,0,2,0,145
posercult,2025-03-28T15:04:49.000Z,"Always On Display needs brightness control and shouldn't show media info. It's unnecessary and kinda annoying, especially since tapping doesn't work and playback time isn't real-time.",0,0,3,0,359
salama_alalawi,2025-03-28T23:05:32.000Z,"nothing much, just linking my apple pen to my phone will be enough",0,0,3,0,455
philmography90,2025-03-28T09:41:33.000Z,I just want it to work properly and NO round icos,0,0,2,0,433
MarcBellew,2025-03-28T13:30:47.000Z,"A dedicated screen time app would be fantastic, to manage your own use and family use.",0,0,2,0,691
rune_overas,2025-03-28T14:21:22.000Z,Better photo app…,0,0,2,0,392
GraysonHadley,2025-03-28T15:52:35.000Z,Working Siri,0,0,2,0,315
yimmy__,2025-03-29T00:40:17.000Z,New Apple Music revamped with more personal features like profile interacted,0,0,2,0,184
joepenora,2025-03-29T04:27:31.000Z,"The battery widget...I want to be able to glance at my phone and not only see how much battery my AirPods have I want to see my iPad, my MacBook, basically every device tied to my Apple ID.",0,0,2,0,832
aakashyap1_,2025-03-28T08:08:59.000Z,NO more android shadow. thanks!,0,0,0,0,1140
chrisahinojosa,2025-03-28T12:12:12.000Z,Stability.,0,0,0,0,1632
CarlosZeLuis,2025-03-28T12:47:18.000Z,Give us back the old Photo app.,0,0,0,0,1119
K_Armstrong1187,2025-03-28T12:52:40.000Z,Language translation feature in airpods or beats I know Google got but that don't make it good or better,0,0,0,0,782
laoChoe,2025-03-28T08:14:58.000Z,split screen for multi-tasking,0,0,2,0,274
JJX_8888,2025-03-28T08:40:19.000Z,A bug free software.,0,0,2,0,191
GregoryFloyd155,2025-03-28T08:44:29.000Z,@grok what can we expect from this update?,0,0,2,0,750
DiamondboyLucas,2025-03-28T08:53:54.000Z,"The charging thing when it tells you how long until finished charge 

Also I want Apple to bring landscape back",0,0,2,0,201
QueenWeezy,2025-03-28T09:18:05.000Z,An official way to clear cache,0,0,2,0,236
ketszeri,2025-03-28T09:24:32.000Z,"Siri, working.",0,0,2,0,77
Giorgikir,2025-03-28T09:38:09.000Z,The ability to silence the dialer tone without turning on Silent Mode.,0,0,2,0,104
Arunava0018,2025-03-28T09:39:46.000Z,Automatic upgrade to the Next iPhone,0,0,2,0,110
SAH_HAIDER,2025-03-28T09:59:12.000Z,Let’s start with changing the color combination on this iOS19 logo.,0,0,2,0,188
iwantelephant,2025-03-28T10:09:09.000Z,"There’s a missing option to adjust the alarm sound level, each morning I set alarm to wakeup early heart attack happens to me ",0,0,2,0,145
gameli_carter,2025-03-28T13:26:14.000Z,"In my opinion I think there should be a software the takes pictures of people who try to gets into others iPhone , when the password entered is wrong to the phone users email and gallery for easy identification, thanks .",0,0,2,0,516
Axy0m,2025-03-28T14:46:42.000Z,"a new design, thats all",0,0,0,0,601
